plan_id,spatial_coverage_rate,capacity_fulfillment_rate,effective_service_rate,served_weighted_satisfaction,served_elderly_proxy_rate,min_community_fulfillment_rate,total_daily_demand,served_daily_demand,unserved_daily_demand,total_effective_daily_demand,total_capacity,total_build_cost_wan,station_count,max_utilization,annual_profit_without_subsidy,locations,scales
14412,1.0,0.8363633575664415,0.7319380875244184,0.8751436572426267,0.836794421539553,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6126.005600698388,7000.0,117.0,5,1.0,3184770.954781649,"C,E,G,I,J","小型,小型,小型,小型,大型"
11582,1.0,0.8363633575664413,0.7316336670295254,0.8747796760947933,0.8358376334024274,0.8,8369.568007340535,6999.999999999999,1369.5680073405356,6123.457732663553,7000.0,118.0,5,1.0,3184588.1478436594,"A,C,G,I,J","小型,小型,中型,小型,中型"
13952,1.0,0.8363633575664414,0.731583924691302,0.8747202015401353,0.8353218515760861,0.8,8369.568007340535,7000.0,1369.5680073405347,6123.041410780947,7000.0,118.0,5,1.0,3185046.297434783,"C,D,E,G,J","小型,小型,小型,中型,中型"
13955,1.0,0.8363633575664414,0.731583924691302,0.8747202015401353,0.8353758763906703,0.8,8369.568007340535,7000.0,1369.5680073405347,6123.041410780947,7000.0,118.0,5,1.0,3185018.2592891296,"C,D,E,G,J","小型,小型,中型,小型,中型"
14396,1.0,0.8363633575664414,0.731583924691302,0.8747202015401353,0.8354712253424319,0.8,8369.568007340535,7000.0,1369.5680073405347,6123.041410780947,7000.0,118.0,5,1.0,3184968.7744770497,"C,E,G,H,J","小型,小型,中型,小型,中型"
14400,1.0,0.8363633575664414,0.731583924691302,0.8747202015401353,0.8354712253424319,0.8,8369.568007340535,7000.0,1369.5680073405347,6123.041410780947,7000.0,118.0,5,1.0,3184968.7744770497,"C,E,G,H,J","小型,中型,小型,小型,中型"
11325,1.0,0.8363633575664415,0.7315533111080761,0.8746835983305985,0.8367296486561621,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6122.78518831419,7000.0,117.0,5,1.0,3184549.26164956,"A,C,E,G,J","小型,小型,小型,小型,大型"
11327,1.0,0.8363633575664415,0.7314564085417482,0.874567736527889,0.8353587446537856,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6121.974155695224,7000.0,118.0,5,1.0,3185035.1240580357,"A,C,E,G,J","小型,小型,小型,中型,中型"
11330,1.0,0.8363633575664415,0.7314564085417482,0.874567736527889,0.8353587446537856,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6121.974155695224,7000.0,118.0,5,1.0,3185035.1240580357,"A,C,E,G,J","小型,小型,中型,小型,中型"
14207,1.0,0.8363633575664415,0.7314425181766848,0.8745511284771683,0.8354891769589842,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6121.857899340179,7000.0,118.0,5,1.0,3184957.7835770906,"C,D,G,I,J","小型,小型,中型,小型,中型"
14547,1.0,0.8363633575664415,0.7314425181766848,0.8745511284771683,0.8354891769589842,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6121.857899340179,7000.0,118.0,5,1.0,3184957.7835770906,"C,G,H,I,J","小型,中型,小型,小型,中型"
11393,1.0,0.8363633575664415,0.7314286797484345,0.8745345825248317,0.8356944313069057,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6121.742077673823,7000.0,118.0,5,1.0,3184734.78199444,"A,C,E,I,J","小型,小型,中型,小型,中型"
13959,1.0,0.8363633575664415,0.7313621622552355,0.8744550507129737,0.8378883068579535,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6121.185354990816,7000.0,118.0,5,1.0,3183511.7127827015,"C,D,E,G,J","小型,中型,小型,小型,中型"
13950,1.0,0.8363633575664414,0.7313621622552354,0.8744550507129737,0.8372220078583787,0.8,8369.568007340535,7000.0,1369.5680073405347,6121.1853549908155,7000.0,117.0,5,1.0,3184279.6169050094,"C,D,E,G,J","小型,小型,小型,小型,大型"
14391,1.0,0.8363633575664414,0.7313621622552354,0.8744550507129737,0.8372220078583787,0.8,8369.568007340535,7000.0,1369.5680073405347,6121.1853549908155,7000.0,117.0,5,1.0,3184279.6169050103,"C,E,G,H,J","小型,小型,小型,小型,大型"
14393,1.0,0.8363633575664414,0.7312997252195546,0.874380397710644,0.8374442105425715,0.8,8369.568007340535,7000.0,1369.5680073405347,6120.662783974508,7000.0,118.0,5,1.0,3183746.6363632213,"C,E,G,H,J","小型,小型,小型,中型,中型"
11285,1.0,0.8363633575664415,0.7312637879732553,0.8743374292496584,0.8353587446537856,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6120.36200474761,7000.0,118.0,5,1.0,3185035.1240580357,"A,C,E,G,H","小型,小型,小型,中型,中型"
11288,1.0,0.8363633575664415,0.7312637879732553,0.8743374292496584,0.8353587446537856,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6120.36200474761,7000.0,118.0,5,1.0,3185035.1240580357,"A,C,E,G,H","小型,小型,中型,小型,中型"
14496,1.0,0.8363633575664414,0.7312392817269067,0.87430812829317,0.8362494336265511,0.8,8369.568007340535,7000.0,1369.5680073405347,6120.15689805219,7000.0,117.0,5,1.0,3184973.486777478,"C,F,G,I,J","小型,小型,小型,小型,大型"
14018,1.0,0.8363633575664413,0.7312375308955938,0.8743060349072069,0.8357980372367417,0.8,8369.568007340535,6999.999999999999,1369.5680073405356,6120.142244350448,7000.0,118.0,5,1.0,3184748.6302929716,"C,D,E,I,J","小型,小型,中型,小型,中型"
14442,1.0,0.8363633575664414,0.7312375308955937,0.8743060349072067,0.835953573082532,0.8,8369.568007340535,7000.0,1369.5680073405347,6120.142244350447,7000.0,118.0,5,1.0,3184730.6139335153,"C,E,H,I,J","小型,中型,小型,小型,中型"
12212,1.0,0.8363633575664415,0.7312364791672437,0.8743047774054993,0.8367296486561621,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6120.133441838496,7000.0,118.0,5,1.0,3184049.261649561,"A,E,G,I,J","小型,小型,中型,小型,中型"
11541,1.0,0.8363633575664415,0.7311223814586383,0.8741683561866914,0.8352093708874397,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6119.178493306841,7000.0,118.0,5,1.0,3185112.647015771,"A,C,G,H,I","小型,小型,中型,中型,小型"
14349,1.0,0.8363633575664415,0.7310342944458156,0.8740630347232081,0.8366264060815114,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6118.441243062458,7000.0,117.0,5,1.0,3184793.85969156,"C,E,F,I,J","小型,小型,小型,小型,大型"
11579,1.0,0.8363633575664414,0.7309428004767964,0.8739536397237844,0.8362251824172062,0.8,8369.568007340535,7000.0,1369.5680073405347,6117.6754780664905,7000.0,118.0,5,1.0,3184316.120461492,"A,C,G,I,J","小型,小型,小型,中型,中型"
11390,1.0,0.8363633575664415,0.7309428004767964,0.8739536397237843,0.8367296486561621,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6117.6754780664905,7000.0,118.0,5,1.0,3184049.261649562,"A,C,E,I,J","小型,小型,小型,中型,中型"
11352,1.0,0.8363633575664414,0.7309173941775471,0.8739232626167299,0.8356123355662504,0.8,8369.568007340535,7000.0,1369.5680073405347,6117.462838317109,7000.0,118.0,5,1.0,3184882.9001662163,"A,C,E,H,I","小型,小型,中型,中型,小型"
14397,1.0,0.8363633575664414,0.7308959924061725,0.8738976735337304,0.8354712253424319,0.8,8369.568007340535,7000.0,1369.5680073405347,6117.283714736112,7000.0,118.0,5,1.0,3184968.7744770497,"C,E,G,H,J","小型,小型,中型,中型,小型"
14401,1.0,0.8363633575664414,0.7308959924061725,0.8738976735337304,0.8354712253424319,0.8,8369.568007340535,7000.0,1369.5680073405347,6117.283714736112,7000.0,118.0,5,1.0,3184968.7744770497,"C,E,G,H,J","小型,中型,小型,中型,小型"
11117,1.0,0.8363633575664414,0.7308809331787819,0.8738796679297611,0.8362251824172062,0.8,8369.568007340535,7000.0,1369.5680073405347,6117.157675508328,7000.0,118.0,5,1.0,3184316.120461492,"A,C,D,G,J","小型,小型,小型,中型,中型"
