plan_id,spatial_coverage_rate,capacity_fulfillment_rate,effective_service_rate,served_weighted_satisfaction,served_elderly_proxy_rate,total_daily_demand,served_daily_demand,unserved_daily_demand,total_effective_daily_demand,total_capacity,total_build_cost_wan,station_count,max_utilization,annual_profit_without_subsidy,locations,scales
14412,1.0,0.849857736874859,0.7454718472809082,0.8771725136282174,0.8415979906933044,8236.672676230217,7000.0,1236.672676230217,6140.207595397522,7000.0,117.0,5,1.0,3162509.6990408367,"C,E,G,I,J","小型,小型,小型,小型,大型"
11327,1.0,0.849857736874859,0.7452028076512741,0.8768559434330417,0.8466623938415307,8236.672676230217,7000.0,1236.672676230217,6137.991604031292,7000.0,118.0,5,1.0,3158387.8388705603,"A,C,E,G,J","小型,小型,小型,中型,中型"
11397,1.0,0.849857736874859,0.7451430879053212,0.8767856731473672,0.8418717454066098,8236.672676230217,7000.0,1236.672676230217,6137.49971203157,7000.0,118.0,5,1.0,3161795.8118214956,"A,C,E,I,J","小型,中型,小型,小型,中型"
11325,1.0,0.849857736874859,0.7450771342667931,0.8767080676427439,0.8420011797674998,8236.672676230217,7000.0,1236.672676230217,6136.956473499207,7000.0,117.0,5,1.0,3162204.277676267,"A,C,E,G,J","小型,小型,小型,小型,大型"
11330,1.0,0.8498577368748589,0.7450323051668247,0.8766553186966285,0.8474722604816781,8236.672676230217,6999.999999999999,1236.6726762302178,6136.587230876398,7000.0,118.0,5,1.0,3157880.1387149678,"A,C,E,G,J","小型,小型,中型,小型,中型"
11582,1.0,0.849857736874859,0.7450257319001898,0.8766475841472446,0.84111027728099,8236.672676230217,7000.0,1236.672676230217,6136.533089030712,7000.0,118.0,5,1.0,3162281.921906481,"A,C,G,I,J","小型,小型,中型,小型,中型"
11285,1.0,0.849857736874859,0.7450090135155331,0.8766279121669456,0.849431795932422,8236.672676230217,7000.0,1236.672676230217,6136.395385168619,7000.0,118.0,5,1.0,3156406.1899464293,"A,C,E,G,H","小型,小型,小型,中型,中型"
14396,1.0,0.849857736874859,0.7449844712020897,0.8765990340237242,0.8464118701828508,8236.672676230217,7000.0,1236.672676230217,6136.193238166069,7000.0,118.0,5,1.0,3159706.5752130123,"C,E,G,H,J","小型,小型,中型,小型,中型"
14397,1.0,0.849857736874859,0.7449844712020897,0.8765990340237242,0.8464118701828509,8236.672676230217,7000.0,1236.672676230217,6136.193238166069,7000.0,118.0,5,1.0000000000000002,3159706.5752130114,"C,E,G,H,J","小型,小型,中型,中型,小型"
13952,1.0,0.849857736874859,0.7449844712020895,0.876599034023724,0.8514782076232223,8236.672676230217,7000.0,1236.672676230217,6136.193238166068,7000.0,118.0,5,1.0,3156202.221470519,"C,D,E,G,J","小型,小型,小型,中型,中型"
11356,1.0,0.849857736874859,0.7449492937695802,0.8765576418812712,0.8435555454321948,8236.672676230217,7000.0,1236.672676230217,6135.903493168898,7000.0,118.0,5,1.0,3160434.7158831484,"A,C,E,H,I","小型,中型,小型,中型,小型"
12212,1.0,0.849857736874859,0.744940102608222,0.8765468269401823,0.842196720593822,8236.672676230217,7000.0,1236.672676230217,6135.827788581276,7000.0,118.0,5,1.0,3161611.9032380613,"A,E,G,I,J","小型,小型,中型,小型,中型"
14027,1.0,0.849857736874859,0.7449247514561367,0.8765287637380494,0.8450569960260037,8236.672676230217,7000.0,1236.672676230217,6135.701346166346,7000.0,118.0,5,1.0,3160600.286009198,"C,D,E,I,J","中型,小型,小型,小型,中型"
14447,1.0,0.849857736874859,0.7449247514561367,0.8765287637380494,0.8450569960260037,8236.672676230217,7000.0,1236.672676230217,6135.701346166346,7000.0,118.0,5,1.0,3160600.2860092,"C,E,H,I,J","中型,小型,小型,小型,中型"
14449,1.0,0.849857736874859,0.7449247514561367,0.8765287637380494,0.8450569960260036,8236.672676230217,7000.0,1236.672676230217,6135.701346166346,7000.0,118.0,5,1.0,3160600.286009199,"C,E,H,I,J","中型,小型,中型,小型,小型"
11579,1.0,0.8498577368748589,0.7448552294157404,0.8764469594108314,0.8461981794779637,8236.672676230217,6999.999999999999,1236.6726762302178,6135.128715875819,7000.0,118.0,5,1.0,3159364.8124677935,"A,C,G,I,J","小型,小型,小型,中型,中型"
11288,1.0,0.849857736874859,0.7448385110310837,0.8764272874305322,0.8502416625725695,8236.672676230217,7000.0,1236.672676230217,6134.991012013726,7000.0,118.0,5,1.0,3155898.489790837,"A,C,E,G,H","小型,小型,中型,小型,中型"
11541,1.0,0.849857736874859,0.7448319377644487,0.8764195528811485,0.8429478178056597,8236.672676230217,7000.0,1236.672676230217,6134.93687016804,7000.0,118.0,5,1.0,3160837.880987531,"A,C,G,H,I","小型,小型,中型,中型,小型"
13950,1.0,0.849857736874859,0.7448139687176403,0.8763984092873107,0.8454870789120359,8236.672676230217,7000.0,1236.672676230217,6134.788865011175,7000.0,117.0,5,1.0,3160371.589153094,"C,D,E,G,J","小型,小型,小型,小型,大型"
14391,1.0,0.849857736874859,0.7448139687176403,0.8763984092873107,0.845394719111254,8236.672676230217,7000.0,1236.672676230217,6134.788865011175,7000.0,117.0,5,1.0,3160431.630513463,"C,E,G,H,J","小型,小型,小型,小型,大型"
14393,1.0,0.849857736874859,0.7448139687176403,0.8763984092873107,0.845394719111254,8236.672676230217,7000.0,1236.672676230217,6134.788865011175,7000.0,118.0,5,1.0000000000000002,3159931.630513465,"C,E,G,H,J","小型,小型,小型,中型,中型"
13955,1.0,0.849857736874859,0.7448139687176402,0.8763984092873106,0.8464118701828509,8236.672676230217,7000.0,1236.672676230217,6134.7888650111745,7000.0,118.0,5,1.0,3159706.5752130114,"C,D,E,G,J","小型,小型,中型,小型,中型"
13959,1.0,0.849857736874859,0.7448139687176402,0.8763984092873106,0.8455830140677825,8236.672676230217,7000.0,1236.672676230217,6134.7888650111745,7000.0,118.0,5,1.0,3160075.2207344593,"C,D,E,G,J","小型,中型,小型,小型,中型"
14400,1.0,0.849857736874859,0.7448139687176402,0.8763984092873106,0.8521041701911221,8236.672676230217,7000.0,1236.672676230217,6134.7888650111745,7000.0,118.0,5,1.0,3155814.0738754747,"C,E,G,H,J","小型,中型,小型,小型,中型"
14401,1.0,0.849857736874859,0.7448139687176402,0.8763984092873106,0.8521041701911222,8236.672676230217,7000.0,1236.672676230217,6134.7888650111745,7000.0,118.0,5,1.0000000000000002,3155814.073875474,"C,E,G,H,J","小型,中型,小型,中型,小型"
14549,1.0,0.849857736874859,0.7448073954510052,0.876390674737927,0.84499422949646,8236.672676230217,7000.0,1236.672676230217,6134.7347231654885,7000.0,118.0,5,1.0,3160633.9125116207,"C,G,H,I,J","小型,中型,中型,小型,小型"
14207,1.0,0.849857736874859,0.744807395451005,0.8763906747379268,0.84499422949646,8236.672676230217,7000.0,1236.672676230217,6134.734723165488,7000.0,118.0,5,1.0,3160633.9125116216,"C,D,G,I,J","小型,小型,中型,小型,中型"
14547,1.0,0.849857736874859,0.744807395451005,0.8763906747379268,0.84499422949646,8236.672676230217,7000.0,1236.672676230217,6134.734723165488,7000.0,118.0,5,1.0,3160633.9125116197,"C,G,H,I,J","小型,中型,小型,小型,中型"
