plan_id,spatial_coverage_rate,capacity_fulfillment_rate,effective_service_rate,served_weighted_satisfaction,served_elderly_proxy_rate,total_daily_demand,served_daily_demand,unserved_daily_demand,total_effective_daily_demand,total_capacity,total_build_cost_wan,station_count,max_utilization,annual_profit_without_subsidy,locations,scales
5127,1.0,1.0,0.9065030142071978,0.9065030142071978,0.9999999999999998,8236.672676230217,8236.672676230217,0.0,7466.568608040759,9000.0,140.0,4,0.9282721025136984,3929567.666062741,"A,B,G,I","小型,大型,大型,中型"
12257,1.0,1.0,0.9046548673124288,0.9046548673124288,1.0,8236.672676230217,8236.672676230217,0.0,7451.346027010955,9000.0,140.0,4,1.0,3929567.666062741,"B,G,I,J","小型,大型,大型,中型"
6553,1.0,0.9999999999999998,0.9042934767891221,0.9042934767891223,0.9999999999999998,8236.672676230217,8236.672676230215,1.8189894035458565e-12,7448.369371562186,9000.0,140.0,4,0.9282721025136984,3929567.666062739,"A,C,H,I","小型,大型,大型,中型"
16287,1.0,0.9999999999999998,0.9040206962441335,0.9040206962441336,1.0,8236.672676230217,8236.672676230215,1.8189894035458565e-12,7446.122567500671,9000.0,140.0,4,1.0,3929567.6660627406,"E,G,I,J","小型,大型,大型,中型"
14427,1.0,0.9999999999999998,0.9039521928105592,0.9039521928105594,1.0,8236.672676230217,8236.672676230215,1.8189894035458565e-12,7445.5583271411215,9000.0,140.0,4,1.0,3929567.6660627406,"C,G,I,J","小型,大型,大型,中型"
12277,1.0,1.0,0.9033931391943467,0.9033931391943467,1.0,8236.672676230217,8236.672676230217,0.0,7440.953585495917,9000.0,140.0,4,1.0,3929567.666062741,"B,G,I,J","中型,大型,大型,小型"
12912,1.0,1.0,0.9030302778500264,0.9030302778500264,0.9999999999999999,8236.672676230217,8236.672676230217,0.0,7437.9648153758935,9000.0,140.0,4,1.0000000000000002,3929567.666062735,"C,D,F,J","大型,大型,小型,中型"
14179,1.0,0.9999999999999998,0.9030178174944948,0.9030178174944951,0.9999999999999999,8236.672676230217,8236.672676230215,1.8189894035458565e-12,7437.86218350595,9000.0,140.0,4,1.0,3929567.666062737,"C,F,H,J","小型,大型,大型,中型"
12664,1.0,0.9999999999999998,0.902948885061772,0.9029488850617722,0.9999999999999998,8236.672676230217,8236.672676230215,1.8189894035458565e-12,7437.294409620836,9000.0,140.0,4,1.0,3929567.666062737,"C,D,E,J","大型,大型,小型,中型"
6049,1.0,1.0,0.9029246911538161,0.9029246911538161,0.9999999999999998,8236.672676230217,8236.672676230217,0.0,7437.095132320244,9000.0,140.0,4,1.0,3929567.6660627383,"A,C,E,J","小型,中型,大型,大型"
