year,community,self_care,semi_disabled,disabled,elderly_total,monthly_income
5,A,557.5900345303826,153.19384782922438,114.61925854199292,825.4031409016,3400.0
5,B,466.5859923151834,131.64400382562278,106.60864103359376,704.8386371744,3100.0
5,C,715.0117227683602,202.09664633439704,149.42377925324246,1066.5321483559997,3800.0
5,D,419.28330652776344,117.39761927303604,93.96417061840036,630.6450964191998,2900.0
5,E,607.7322565171773,171.31714898048375,129.82146875353874,908.8708742511999,3500.0
5,F,369.1410845409686,102.92959736805167,75.10668116057956,547.1773630695999,2700.0
5,G,670.5485731803152,188.07189913420802,142.99232788067653,1001.6128001951997,3600.0
5,H,442.55375284134055,124.81544692101731,91.09847444004198,658.4676742023998,3000.0
5,I,571.0259223669914,162.20186382713842,119.99793249067001,853.2257186847997,3300.0
5,J,513.1268849423377,142.8243798753103,104.532527923152,760.4837927408,3200.0
