year,community,self_care,semi_disabled,disabled,elderly_total,monthly_income
5,A,501.619861630079,169.49250324231278,114.99316700600812,786.1055318783999,3400.0
5,B,419.28130169702166,145.22387273963264,106.77595390894558,671.2811283455999,3100.0
5,C,642.971153957145,223.06650011221836,149.71668487463617,1015.7543389439995,3800.0
5,D,376.8651730212649,129.60557874795273,94.1492051715821,600.6199569407997,2900.0
5,E,546.4222779479242,189.10190693047917,130.07516483039655,865.5993497087998,3500.0
5,F,332.06275670341995,113.75412429834202,75.309258108638,521.1261391104,2700.0
5,G,602.9413129234772,207.68136657846946,143.3031344628533,953.9258139648,3600.0
5,H,398.01953247095963,137.80527647097398,91.29308727566627,627.1178962175999,3000.0
5,I,513.4438900641542,178.95530546344102,120.20427562760464,812.6034711551998,3300.0
5,J,461.590020596411,157.86531894711945,104.82166735566958,724.2770068992,3200.0
